area-name,duoarea,period,process,process-name,product,product-name,series,series-description,units,value
PADD 1A,R1X,2010-09,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200011001,New England (PADD 1A) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,5453.2
PADD 1,R10,2010-10,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200010001,East Coast (PADD 1) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,42982
PADD 1C,R1Z,2010-10,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200013001,Lower Atlantic (PADD 1C) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,19507
PADD 1B,R1Y,2010-10,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200012001,Central Atlantic (PADD 1B) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,17460.1
PADD 1A,R1X,2010-10,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200011001,New England (PADD 1A) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,6014.9
PADD 1,R10,2010-11,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200010001,East Coast (PADD 1) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,46808.9
PADD 1C,R1Z,2010-11,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200013001,Lower Atlantic (PADD 1C) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,19521.1
PADD 1A,R1X,2010-11,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200011001,New England (PADD 1A) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,7852.6
PADD 1B,R1Y,2010-11,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200012001,Central Atlantic (PADD 1B) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,19435.1
PADD 1,R10,2010-12,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200010001,East Coast (PADD 1) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,57218.6
PADD 1B,R1Y,2010-12,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200012001,Central Atlantic (PADD 1B) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,24843.4
PADD 1C,R1Z,2010-12,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200013001,Lower Atlantic (PADD 1C) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,20379.5
PADD 1A,R1X,2010-12,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200011001,New England (PADD 1A) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,11995.8
PADD 1B,R1Y,2011-01,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200012001,Central Atlantic (PADD 1B) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,26798.7
PADD 1C,R1Z,2011-01,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200013001,Lower Atlantic (PADD 1C) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,19825.1
PADD 1,R10,2011-01,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200010001,East Coast (PADD 1) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,59274.3
PADD 1A,R1X,2011-01,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200011001,New England (PADD 1A) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,12650.5
PADD 1,R10,2011-02,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200010001,East Coast (PADD 1) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,56797.5
PADD 1C,R1Z,2011-02,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200013001,Lower Atlantic (PADD 1C) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,20168.8
PADD 1B,R1Y,2011-02,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200012001,Central Atlantic (PADD 1B) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,24667.3
PADD 1A,R1X,2011-02,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200011001,New England (PADD 1A) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,11961.4
PADD 1,R10,2011-03,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200010001,East Coast (PADD 1) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,50981.2
PADD 1C,R1Z,2011-03,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200013001,Lower Atlantic (PADD 1C) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,20376.3
PADD 1A,R1X,2011-03,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200011001,New England (PADD 1A) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,9496.7
PADD 1B,R1Y,2011-03,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200012001,Central Atlantic (PADD 1B) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,21108.2
PADD 1,R10,2011-04,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200010001,East Coast (PADD 1) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,43591.2
PADD 1C,R1Z,2011-04,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200013001,Lower Atlantic (PADD 1C) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,19483.7
PADD 1B,R1Y,2011-04,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200012001,Central Atlantic (PADD 1B) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,17478.8
PADD 1A,R1X,2011-04,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200011001,New England (PADD 1A) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,6628.8
PADD 1,R10,2011-05,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200010001,East Coast (PADD 1) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,39556.1
PADD 1B,R1Y,2011-05,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200012001,Central Atlantic (PADD 1B) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,14628.7
PADD 1C,R1Z,2011-05,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200013001,Lower Atlantic (PADD 1C) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,19854.3
PADD 1A,R1X,2011-05,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200011001,New England (PADD 1A) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,5073.1
PADD 1B,R1Y,2011-06,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200012001,Central Atlantic (PADD 1B) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,15794.1
PADD 1C,R1Z,2011-06,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200013001,Lower Atlantic (PADD 1C) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,20321.9
PADD 1,R10,2011-06,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200010001,East Coast (PADD 1) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,40856.6
PADD 1A,R1X,2011-06,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200011001,New England (PADD 1A) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,4740.6
PADD 1B,R1Y,2011-07,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200012001,Central Atlantic (PADD 1B) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,14942.2
PADD 1C,R1Z,2011-07,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200013001,Lower Atlantic (PADD 1C) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,17882.8
PADD 1,R10,2011-07,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200010001,East Coast (PADD 1) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,37023.9
PADD 1A,R1X,2011-07,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200011001,New England (PADD 1A) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,4198.9
PADD 1,R10,2011-08,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200010001,East Coast (PADD 1) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,40684.5
PADD 1C,R1Z,2011-08,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200013001,Lower Atlantic (PADD 1C) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,20269.9
PADD 1B,R1Y,2011-08,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200012001,Central Atlantic (PADD 1B) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,15365.8
PADD 1A,R1X,2011-08,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200011001,New England (PADD 1A) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,5048.7
PADD 1B,R1Y,2011-09,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200012001,Central Atlantic (PADD 1B) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,16888
PADD 1C,R1Z,2011-09,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200013001,Lower Atlantic (PADD 1C) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,19154
PADD 1,R10,2011-09,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200010001,East Coast (PADD 1) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,41900.9
PADD 1A,R1X,2011-09,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200011001,New England (PADD 1A) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,5859
PADD 1,R10,2011-10,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200010001,East Coast (PADD 1) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,43450.8
PADD 1C,R1Z,2011-10,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200013001,Lower Atlantic (PADD 1C) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,19194.3
PADD 1B,R1Y,2011-10,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200012001,Central Atlantic (PADD 1B) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,17980
PADD 1A,R1X,2011-10,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200011001,New England (PADD 1A) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,6276.5
PADD 1,R10,2011-11,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200010001,East Coast (PADD 1) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,48288.9
PADD 1C,R1Z,2011-11,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200013001,Lower Atlantic (PADD 1C) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,19761.2
PADD 1A,R1X,2011-11,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200011001,New England (PADD 1A) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,8213.7
PADD 1B,R1Y,2011-11,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200012001,Central Atlantic (PADD 1B) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,20314.1
PADD 1,R10,2011-12,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200010001,East Coast (PADD 1) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,49380.8
PADD 1B,R1Y,2011-12,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200012001,Central Atlantic (PADD 1B) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,20792.5
PADD 1C,R1Z,2011-12,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200013001,Lower Atlantic (PADD 1C) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,18844.5
PADD 1A,R1X,2011-12,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200011001,New England (PADD 1A) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,9743.8
PADD 1B,R1Y,2012-01,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200012001,Central Atlantic (PADD 1B) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,20916.5
PADD 1C,R1Z,2012-01,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200013001,Lower Atlantic (PADD 1C) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,19010.9
PADD 1,R10,2012-01,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200010001,East Coast (PADD 1) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,50788.6
PADD 1A,R1X,2012-01,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200011001,New England (PADD 1A) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,10861.2
PADD 1,R10,2012-02,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200010001,East Coast (PADD 1) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,47993.2
PADD 1C,R1Z,2012-02,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200013001,Lower Atlantic (PADD 1C) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,19059.8
PADD 1B,R1Y,2012-02,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200012001,Central Atlantic (PADD 1B) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,19031.3
PADD 1A,R1X,2012-02,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200011001,New England (PADD 1A) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,9902.1
PADD 1,R10,2012-03,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200010001,East Coast (PADD 1) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,42947.3
PADD 1C,R1Z,2012-03,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200013001,Lower Atlantic (PADD 1C) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,19055.7
PADD 1A,R1X,2012-03,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200011001,New England (PADD 1A) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,7311.5
PADD 1B,R1Y,2012-03,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200012001,Central Atlantic (PADD 1B) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,16580.1
PADD 1,R10,2012-04,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200010001,East Coast (PADD 1) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,39666
PADD 1C,R1Z,2012-04,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200013001,Lower Atlantic (PADD 1C) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,18878.9
PADD 1B,R1Y,2012-04,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200012001,Central Atlantic (PADD 1B) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,15071
PADD 1A,R1X,2012-04,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200011001,New England (PADD 1A) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,5716.1
PADD 1,R10,2012-05,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200010001,East Coast (PADD 1) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,39749.1
PADD 1B,R1Y,2012-05,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200012001,Central Atlantic (PADD 1B) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,14982.9
PADD 1C,R1Z,2012-05,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200013001,Lower Atlantic (PADD 1C) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,19421.2
PADD 1A,R1X,2012-05,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200011001,New England (PADD 1A) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,5345
PADD 1B,R1Y,2012-06,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200012001,Central Atlantic (PADD 1B) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,14515.3
PADD 1C,R1Z,2012-06,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200013001,Lower Atlantic (PADD 1C) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,19152.4
PADD 1,R10,2012-06,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200010001,East Coast (PADD 1) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,38412
PADD 1A,R1X,2012-06,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200011001,New England (PADD 1A) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,4744.3
PADD 1B,R1Y,2012-07,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200012001,Central Atlantic (PADD 1B) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,14052.5
PADD 1C,R1Z,2012-07,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200013001,Lower Atlantic (PADD 1C) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,18323.5
PADD 1,R10,2012-07,P00,All Sales/Deliveries,EPD2,No 2 Distillate,C200010001,East Coast (PADD 1) No 2 Distillate All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),MGAL/D,36691.5
